Record ID,Company name,Company owner,Company Domain Name,Create Date,Phone Number,Last Activity Date,City,Country/Region,Industry,Company Type,Last Engagement Date,Postal Code,Street Address,Street Address 2,State/Region,Website URL,Description,Annual Revenue
20676798568,Corportate Settlement Services,Sherrard Haugabrooks,,5/7/24 10:26,,,,,,AMC Contact,,,,,,,,
26032936107,Appraisal MC,Sherrard Haugabrooks,AppraisalMC.com,11/18/24 17:56,18776230559,1/24/25 12:28,Houston,United States,Real Estate,AMC Contact,,77056,5100 Westheimer Road,200,TX,AppraisalMC.com,"Appraisal MC is the largest independently owned nationwide appraisal management company, offering innovative appraisal management solutions to top lenders. They provide access to AVM modules for accurate market value estimates and compliance consulting services for financial institutions.",10000000
19570433918,Vision VMC,Rod Haugabrooks,visionvmc.com,3/17/24 22:13,,7/1/25 8:44,Ponte Vedra Beach,United States,Real Estate,AMC Contact,8/20/25 22:13,32081,425 Town Plaza Avenue,,FL,visionvmc.com,Vision VMC is a multifaceted Vendor Management Company that offers a unique customer experience by providing exceptional real estate appraisal and valuation products and services to niche markets within the broader mortgage industry. Vision's review se...,1000000
21758283815,Allstate Appraisal,Sherrard Haugabrooks,allstateappraisal.net,7/5/24 10:36,,1/2/25 13:19,Chicago Heights,United States,Real Estate,AMC Contact,12/30/24 16:18,60411,320 202nd Street,,IL,allstateappraisal.net,"Allstate Appraisal has been providing clients with review and valuation services since 1959. We provide commercial and residential appraisals, as well as appraisal reviews and litigation support. Contact us to learn more about our nationwide appraisal ...",50000000
21855005604,BLUEBIRD VALUATION LLC,,bluebirdvaluation.com,7/11/24 14:11, +1 954-491-9800,3/27/25 13:37,Fort Lauderdale,United States,Real Estate,AMC Contact,4/3/25 21:49,33308,2400 East Commercial Boulevard,1050, FL,bluebirdvaluation.com,"BlueBird Valuation specializes in providing customized appraisal management services tailored to meet the specific underwriting guidelines of lenders, leveraging the expertise of seasoned professionals with extensive experience in the appraisal and lending industries.",1000000
21758107500,Great South Bay Appraisal Management,Sherrard Haugabrooks,greatsouthbayamc.com,7/5/24 9:51, +1 631-234-5057,5/30/25 15:10,Islip,United States,Real Estate,AMC Contact,10/23/25 8:14,11751,27 Sutton Place,,NY,greatsouthbayamc.com,Great South Bay Appraisal Management Company specializes in residential and commercial appraisal/valuations for both lending and non-lending purposes. Our company was started by Appraisers and Managers with over 20 years of experience and has the educa...,
28509974361,AppraiserVendor,Rod Haugabrooks,appraiservendor.com,1/13/25 14:47,,1/14/25 13:36,Greenwood,United States,Real Estate,AMC Contact,1/15/25 7:49,46142,107 North State Road 135,108,IN,appraiservendor.com,"AppraiserVendor is a top national provider of appraisal and valuation management solutions, offering tailored services with over 17 years of experience in the industry.",10000000
31293494837,Nation Valuation Service,Sherrard Haugabrooks,nationsvs.com,3/21/25 13:27,,9/11/24 11:03,Merriam,,Real Estate,AMC Contact,,66202,,,KS,nationsvs.com,,
21592981919,"NDA Valuations, LLC",Sherrard Haugabrooks,ndavaluations.com,6/25/24 10:30,,1/17/25 17:11,,,,AMC Contact,1/17/25 22:05,,,,,ndavaluations.com,,
20786704285,USRES,Sherrard Haugabrooks,,5/13/24 13:04,,9/24/25 13:41,,,,AMC Contact,9/25/25 14:29,,,,,,,
23042005902,Americmac,Sherrard Haugabrooks,,9/16/24 9:59,,,,,,AMC Contact,,,,,,,,
21509388463,Home Base Appraisal Management LLC,Sherrard Haugabrooks,,6/19/24 18:02,,4/1/25 21:39,,,Real Estate,AMC Contact,2/3/25 14:15,,,,,,,
20786704216,Appraisal Nation,Sherrard Haugabrooks,,5/13/24 13:03,,2/5/25 11:40,,,,AMC Contact,,,,,,,,
20786460758,Valligent,Sherrard Haugabrooks,,5/13/24 12:43,,,,,,AMC Contact,,,,,,,,
21526623102,AppraisalTek,Sherrard Haugabrooks,,6/20/24 15:03,,12/4/24 12:39,,,,AMC Contact,12/4/24 13:21,,,,,,,
31294610751,Integration 4.0 Inc.,Sherrard Haugabrooks,www.i40inc.com,3/21/25 13:14,,4/17/25 17:41,Knoxville,,Real Estate,AMC Contact,4/17/25 20:35,37929,,,TN,www.i40inc.com,,
